0	XML,Extensible Markup Language	웹브라우저 간 HTML 문법이 호환되지 않는 문제와 SGML의 복잡함을 해결하기 위하여 개발된 다목적 마크업 언어이다.
1	JSON,JavaScript Object Notation	속성-값 쌍(attribute-value pairs)으로 이루어진 데이터 오브젝트를 전달하기 위해 사용하는 개방형 표준 포맷이다. AJAX에서 많이 사용되고 XML을 대체하는 주요 데이터 포맷이다. 언어 독립형 데이터 포맷으로 다양한 프로그래밍 언어에서 사용되고 있다.?
2	살충제 패러독스,Pesticide Paradox	동일한 테스트 전략, 기법을 적용할 시 장애가 도출되지 않음을 의미하는 애플리케이션 테스트의 기본 원리
3	MD5	128비트 암호화 해시 함수로 RFC 1321로 지정되어 있으며, 주로 프로그램이나 파일이 원본 그대로인지를 확인하는 무결성 검사 등에 사용된다.
4	원자성,Atomicity	트랜잭션은 연산들을 전부 실행하든지 전혀 실행하지 않아야 한다. 일부만 실행해서는 안 된다.
5	일관성,Consistency	트랜잭션이 성공적으로 실행되면 데이터베이스 상태는 모순되지 않고 일관된 상태가 된다.
6	독립성,Isolation	트랜잭션 실행 도중의 연산 결과는 다른 트랜잭션에서 접근할 수 없다.
7	지속성,Durability	트랜잭션이 성공했을 경우 영구적으로 반영되어야 한다.
8	랜드어택,Land Attack	패킷의 출발지 주소(Address)나 포트(port)를 임의로 변경하여 출발지와 목적지 주소(또는 포트)를 동일하게 함으로써, 공격 대상 컴퓨터의 실행 속도를 느리게 하거나 동작을 마비시켜 서비스 거부 상태에 빠지도록 하는 공격
9	물리 계층,Physical Layer	OSI 7계층 중 이 계층은 전송에 필요한 두 장치 간의 실제 접속과 절단 등 기계적, 전기적, 기능적, 절차적 특성에 대한 규칙을 정의한다. 단위(PDU)는 '비트'를 사용한다
10	반정규화,데이터베이스 반정규화,Denormalization 	시스템의 성능 향상, 개발 및 운영의 편의성 등을 위해 정규화된 데이터 모델을 통합, 중복, 분리하는 과정으로, 의도적으로 정규화 원칙을 위배하는 행위
11	목표 복구 시간,RTO,Recovery Time Objective	비상사태 또는 업무중단 시점으로부터 업무가 복구되어 다시 정상가동 될 때까지의 시간
12	목표 복구 시점,RPO,Recovery Point Objective	업무 중단 시 각 업무에 필요한 데이터를 여러 백업 수단을 이용하여 복구할 수 있는 기준점
13	AJAX,Asynchronous Javascript And XML	비동기식 자바스크립트 XML'을 의미하는 용어로, 클라이언트와 웹서버 간에 XML 데이트를 내부적으로 통신하는 대화식 웹 애플리케이션의 제작을 위해 사용된다. 클라이언트의 요청에 의해 웹서버에서 로딩된 데이터를 웹 브라우저의 페이지에 보여주기 위해 웹 페이지 전체를 '새로고침'할 필요 없이 즉, 현재 페이지에서 필요한 일부만 로딩되도록 하는 웹 개발 기법을 의미한다.
14	ROLLBACK	트랜잭션의 실패로 작업을 취소하고, 이전 상태로 되돌리는 데이터 제어어
15	GRANT	SQL에서 특정 사용자에게 특정 작업을 수행할 권한을 부여하는 명령어
16	REVOKE	SQL에서 특정 이용자에게 부여한 특정 권한을 회수하는 명령어
17	IPSec	네트워크 계층(network layer, 3계층)인 인터넷 프로토콜(IP)에서 '암호화', '인증', '키 관리'를 통해 보안성을 제공해 주는 표준화된 기술
18	정적 분석 도구,정적 테스팅 도구	애플리케이션을 실행하지 않고, 소스 코드에 대한 코딩 표준, 코딩 스타일, 코드 복잡도 및 남은 결함을 발견하기 위하여 사용하는 테스트 자동화 도구 유형은?
19	Observer,Observer Pattern	한 객체의 상태가 바뀌면 그 객체에 의존하는 다른 객체들한테 연락이 가고 자동으로 내용이 갱신되는 방식으로 일 대 다(one-to-many) 의존성을 가지는 디자인 패턴. 서로 상호작용을 하는 객체 사이에서는 가능하면 느슨하게 결합(Loose coupling)하는 디자인을 사용해야 한다.
20	안드로이드,Android	리눅스 커널을 기반으로 동작하며 자바의 코틀린 언어로 개발된, 모바일 기기에 주로 사용되는 오픈소스 플랫폼인 운영체제는 무엇인지 쓰시오.
21	SOAP	HTTP 등의 프로토콜을 이용하여 XML 기반의 메시지를 교환하는 프로토콜로, Envelope-Header-Body 주요 3요소로 구성된다. 유사한 기능을 하는 RESTful로 대체될 수 있다.
22	SQL Injection	웹 응용프로그렘에 강제로 SQL 구문을 삽입하여 내부 데이터베이스 서버의 데이터를 유출 및 변조하고 관리자 인증을 우회하는 공격 기법
23	Linked Open Data	전세계 오픈된 정보를 하나로 묶는 방식이며 URI(Uniform Resource Identifier)를 사용한다. RESTful 방식으로 볼 수 있으며, 링크 기능이 강조된 시멘틱 웹에 속하는 기술이다.
24	형상 관리	소프트웨어 개발 과정에서 산출물 등의 변경에 대비하기 위해 반드시 필요하다. 소프트웨어 리사이클 기간 동안 개발되는 제품의 무결성을 유지하고 소프트웨어의 식별, 편성 및 수정을 통제하는 프로세스를 제공한다. 실수를 최소화하고 생산성의 최대화가 궁극적인 목적이다. 관련 도구로는 CVS, SVN, Clear Case 등이 있다.
25	리팩토링	결과의 변경없이 코드의 구조를 재조정하는 것으로 가독성을 높이고, 유지보수를 쉽게하기 위한 것.
26	ICMP,Internet Control Message Protocol	TCP/IP에서 신뢰성없는 IP를 대신하여 송신측으로 네트워크의 IP 상태 및 에러 메시지를 전달해주는 프로토콜
27	헝가리안 표기법,Hungarian Notation	식별자 표기 시 접두어에 자료형을 붙이는 표기법
28	스키마,Schema	데이터베이스의 전체적인 구조와 제약조건에 대한 명세
29	스니핑,Sniffing	네트워크상에 흘러다니는 트래픽을 훔쳐보는 행위. 주로 자신에게 와야할 정보가 아닌 정보를 자신이 받도록 조작하는 행위
30	NAT,Network Address Translation	IP 패킷에서 외부의 공인 IP주소와 포트 주소에 해당하는 내부 IP주소를 재기록하여 라우터를 통해 네트워크 트래픽을 주고받는 기술
31	블록체인,Blockchain	분산 컴퓨팅 기술 기반의 데이터 위변조 방지 기술로 P2P방식을 기반으로 하여 소규모 데이터들이 연결되어 형성된 '블록'이라는 분산 데이터 저장 환경에 관리 대상 데이터를 저장함으로써 누구도 임의로 수정할 수 없고 누구나 변경의 결과를 열람할 수 있게끔 만드는 기술
32	하둡,Hadoop	오픈 소스 기반으로 한 분산 컴퓨팅 플랫폼으로, 일반 PC급 컴퓨터들로 가상화된 대형 스토리지를 형성하고 그 안에 보관된 거대한 데이터 세트를 병렬로 처리할 수 있도록 개발된 자바 소프트웨어 프레임워크로 구글, 야후 등에 적용한 기술은 무엇인가?
33	삽입 이상,Insertion Anomaly	(Anomaly) 데이터 삽입 시 의도와 다른 값들도 삽입됨
34	삭제 이상,Delete Anomaly	(Anomaly) 데이터 삭제 시 의도와 다른 값들도 연쇄 삭제됨
35	갱신 이상,Update Anomaly	(Anomaly) 속성값 갱신 시 일부 튜플만 갱신되어 모순 발생
36	샘플링 오라클,Sampling Oracle	테스트 오라클 중 특정한 몇 개의 입력값에 대해서만 기대하는 결과를 제공해주는 오라클
37	참 오라클,True Oracle	모든 테스트 케이스의 입력 값이 기대한 결과 값인지 확인하는 오라클
38	휴리스틱 오라클,Heuristic Oracle	샘플링 오라클 후 나머지 입력 값들에 대해서는 추정으로 처리하는 오라클
39	일관성 검사 오라클,Consistent Oracle	수행 전과 수행 후의 결과 값이 동일한지를 확인하는 오라클
40	유닉스,UNIX	데니스 리치와 켄톰슨 등이 함께 벨 연구소를 통해 만든 운영체제이며, 90% 이상 C언어로 구현되어 있고, 시스템 프로그램이 모듈화되어 있어서 다른 하드웨어 기종으로 쉽게 이식 가능하며 계층적 트리 구조를 가짐으로써 통합적인 파일 관리가 용이한 운영체제
41	리눅스,Linux	효율성과 빠른 성능으로 서버시스템으로 많이 사용된다. 1991년, 필란드의 헬싱키 대학에서 재학중이던 Linus Torvalds에 의해 개발되었으며 GNU프로젝트의 라이선스인 GPL을 따른 운영체제
42	RARP,Reverse Address Resolution Protocol	물리 네트워크(MAC) 주소에 해당하는 IP 주소를 알려주는 프로토콜로 역순 주소 결정 프로토콜
43	WSDL,Web Service Description Language	웹 서비스명, 제공 위치, 메세지 포맷, 프로토콜 정보 등 웹 서비스에 대한 상세 정보가 기술된 XML 형식으로 구성된 언어
44	단위 테스트	개별 모듈, 서브루틴이 정상적으로 실행되는지 확인
45	통합 테스트	인터페이스 간 시스템이 정상적으로 실행되는지 확인
46	알파 테스트	통제된 환경에서 선별된 사용자들(사내 직원 등)이 개발자와 함께 수행하는 테스트
47	베타 테스트	실제와 동일한 환경에서 사외의 사용자들이 테스트하게 하고 피드백을 받는 방법
48	프로세스 간 통신,IPC,Inter Process Communication	공유메모리, 소켓, 세마포어, 메세지 큐 등 프로세스 간 통신하는 기술
49	EAI,Enterprise Application integration	기업에서 운영되는 서로 다른 플랫폼 및 애플리케이션 간의 정보를 전달, 연계 , 통합이 가능하도록 해주는 솔루션
50	임의적 접근 통제,DAC,Discretionary Access Control	시스템 객체의 접근을 개인 또는 그룹의 식별자에 기반을 둔 방법, 어떤 종류의 접근 권한을 가진 사용자가 다른 사용자에 자신의 판단에 따라 권한을 허용하는 접근제어 방식
51	내용 결합도,Content Coupling	다른 모듈 내부에 있는 변수나 기능을 다른 모듈에서 사용 하는 경우
52	공통 결합도,Common Coupling	파라미터가 아닌 모듈 밖에 선언되어 있는 전역 변수를 참조하고 전역변수를 갱신하는 식으로 상호작용하는 경우
53	외부 결합도,External Coupling	어떤 모듈에서 반환한 값을 다른 모듈에서 참조해서 사용하는 경우
54	제어 결합도,Control Coupling	어떤 모듈이 다른 모듈의 내부 논리 조직을 제어하기 위한 목적으로 제어신호를 이용하여 통신하는 경우
55	스탬프 결합도,Stamp Coupling	모듈간의 인터페이스로 배열이나 오브젝트, 스트럭쳐등이 전달되는 경우
56	자료 결합도,Data Coupling	모듈간의 인터페이스 전달되는 파라미터를 통해서만 모듈간의 상호 작용이 일어나는 경우
57	기능적 응집도,Functional Cohesion	모듈 내부의 모든 기능이 단일한 목적을 위해 수행되는 경우
58	순차적 응집도,Sequential Cohesion	모듈 내의 한 활동으로부터 나온 출력값을 모듈 내의 다른 활동이 사용할 경우
59	교환적 응집도,Communication Cohesion	서로 다른 기능을 수행하지만 동일한 입력과 출력을 사용하는 활동들이 모여있을 경우
60	절차적 응집도,Procedural Cohesion	모듈 안의 구성요소들이 서로 다른 기능을 하지만 그 기능을 순차적으로 수행할 경우
61	시간적 응집도,Temporal Cohesion	연관된 기능이라기 보단 특정 시간에 처리되어야 하는 활동들을 한 모듈에서 처리할 경우
62	논리적 응집도,Logical Cohesion	실제와 달리 논리적으로만 같은 그룹으로 분류되는 처리 요소들이 한 모듈에서 처리되는 경우
63	우연적 응집도,Coincidental Cohesion	모듈 내부의 각 구성요소들이 연관이 없을 경우
64	세션 하이재킹,Session Hijacking	세션 관리 취약점을 이용한 공격 기법으로, '세션을 가로채다' 라는 의미이다. 이 공격은 정상적 연결을 RST 패킷을 통해 종료시킨 후 재연결 시 희생자가 아닌 공격자에게 연결한다.
65	애드혹 네트워크,Ad-hoc Network	네트워크 장치를 필요로하지 않고 네트워크 토폴로지가 동적으로 변화되는 특징이 있으며 응용 분야로는 긴급 구조, 긴급 회의, 전쟁터에서의 군사 네트워크에 활용되는 네트워크
66	UX,User Experience	사람의 감정이나 경험을 나타내는 개념
67	UI,User Interface	사용자 인터페이스. 예로는 CLI이 있다.
68	1NF	다음이 설명하는 정규형은? 도메인이 원자값이어야 한다.
69	2NF	다음이 설명하는 정규형은? 부분적 함수 종속을 제거해야 한다.
70	3NF	다음이 설명하는 정규형은? 이행적 함수 종속을 제거해야 한다.
71	BCNF	다음이 설명하는 정규형은? 결정자이면서 후보키가 아닌 것을 제거해야 한다.
72	4NF	다음이 설명하는 정규형은? 다치 종속성을 제거해야 한다.
73	5NF	다음이 설명하는 정규형은? 조인 종속성을 제거해야 한다.
74	행위 패턴,Behavioral Pattern	디자인 패턴 중 반복적으로 사용되는 객체들의 상호작용을 패턴화한 것으로 클래스나 객체들이 상호작용하는 방법
75	로킹,Locking	병행제어기법 중, 접근한 데이터에 대한 연산을 모두 마칠때까지 상호배제하는 기법
76	Cause Effect Graph,원인 결과 그래프	입력 자료 간의 관계와 출력에 영향을 미치는 상황을 체계적으로 분석 후 효용성이 높은 테스트 케이스를 선정해서 테스트하는 기법
77	DES	이것은 미국 NBS (National Bureau of Standards, 현재 NIST)에서 국가 표준으로 정한 암호 알고리즘으로, 64비트 평문을 64비트 암호문으로 암화하는 대칭키 암호 알고리즘이다. 키는 7비트마다 오류검출을 위한 정보가 1비트씩 들어가기 때문에 실질적으로는 56비트이다. 현재는 취약하여 사용되지 않는다.
78	클래스 다이어그램,Class Diagram	이 다이어그램은 문제 해결을 위한 도메인 구조를 나타내어 보이지 않는 도메인 안의 개념과 같은 추상적인 개념을 기술하기 위해 나타낸 것이다. 또한 소프트웨어의 설계 혹은 완성된 소프트웨어의 구현 설명을 목적으로 사용할 수 있다. 이 다이어그램은 속성(attribute)과 메서드(method)를 포함한다.
79	팩토리 메소드,Factory Method	부모(상위) 클래스에 알려지지 않은 구체 클래스를 생성하는 패턴이며, 자식(하위) 클래스가 어떤 객체를 생성할지를 결정하도록 하는 패턴이기도 하다.  부모(상위) 클래스 코드에 구체 클래스 이름을 감추기 위한 방법으로도 사용한다.
80	인덱스,Index	파일구조는 파일을 구성하는 레코드들이 보조기억장치에 편성되는 방식으로 접근 방식에 따라 방식이 달라진다. 접근 방법중, 레코드들을 키-값 순으로 정렬하여 기록하고, 레코드의 키 항목만을 모은 (  )을 구성하여 편성하는 방식이 있으며, 레코드를 참조할 때는 (   ) 이 가르키는 주소를 사용하여 직접 참조할 수 있다. 파일 구조에는 순차 접근, (  ) 접근,  해싱 접근이 있다.
81	GUI,Graphic User Interface	(  )는 사용자가 그래픽을 통해 컴퓨터와 정보를 교환하는 환경을 말한다. 이전까지 사용자 인터페이스는 키보드를 통해 명령어로 작업을 수행시켰지만 (   )에서는 키보드 뿐만 아니라 마우스 등을 이용하여 화면의 메뉴 중 하나를 선택하여 작업을 수행한다.
82	redo	데이터베이스에서 오류가 발생하기 전까지의 사항을 로그(log)로 기록해 놓고, 이전 상태로 되돌아간 후 실패가 발생하기 전까지의 과정을 재실행한다.
83	undo	데이터베이스에서 로그를 이용하여 오류와 관련된 내용을 취소하여 복구한다.
84	JUnit	자바 프로그래밍 언어를 이용한 xUnit의 테스트 기법으로써 숨겨진 단위 테스트를 끌어내어 정형화시켜 단위 테스트를 쉽게 해주는 테스트용 프레임워크이다.
85	ISMS,Information Security Management System	정부에서 정한 인증기관 및 심사기관에서 기업이 주요 정보자산을 보호하기 위해 수립·관리·운영하는 정보보호 관리체계가 인증 기준에 적합한지를 심사하여 인증을 부여하는 제도
86	워터링 홀,Watering Hole	이 공격은 APT 공격에서 주로 쓰이는 공격으로, 공격 대상이 방문할 가능성이 있는 합법적인 웹 사이트를 미리 감염시킨 뒤, 잠복하고 있다가 공격 대상이 방문하면 대상의 컴퓨터에 악성코드를 설치하는 방식이다.
87	SIEM,Security Information & Event Management	머신러닝 기술을 이용하여 IT 시스템에서 발생하는 대량의 로그를 통합관리 및 분석하여 사전에 위협에 대응하는 보안 솔루션이다. 서로 다른 기종의 보안솔루션 로그 및 이벤트를 중앙에서 통합 수집하여 분석할 수 있으며, 네트워크 상태의 monitoring 및 이상징후를 미리 감지할 수 있다.
88	Trustzone	프로세서(processor) 안에 독립적인 보안 구역을 따로 두어 중요한 정보를 보호하는 ARM사에서 개발한 하드웨어 기반의 보안 기술로 프로세서(processor) 안에 독립적인 보안 구역을 별도로 하여, 중요한 정보를 보호하는 하드웨어 기반의 보안 기술이다.
89	Typosquatting	사용자들이 사이트에 접속할 때 주소를 잘못 입력하거나 철자를 빠뜨리는 실수를 이용하기 위해 유사한 유명 도메인을 미리 등록하는 일로 URL 하이재킹(hijacking)이라고도 한다.
90	SSO,Single Sign On	여러 개의 사이트에서 한번의 로그인으로 여러가지 다른 사이트들을 자동적으로 접속하여 이용하는 방법을 말한다. 일반적으로 서로 다른 시스템 및 사이트에서 각각의 사용자 정보를 관리하게 되는데 이때 하나의 사용자 정보를 기반으로 여러 시스템을 하나의 통합 인증을 사용하게 하는 것을 말한다. 즉 하나의 시스템에서 인증을 할 경우 타 시스템에서는 인증 정보가 있는지 확인하고 있으면 로그인 처리를 하도록 하고, 없는 경우 다시 통합 인증을 할 수 있도록 만드는 것을 의미한다.
91	사회공학,Social Engineering	보안학적 측면에서 기술적인 방법이 아닌 사람들간의 기본적인 신뢰를 기반으로 사람을 속여 비밀 정보를 획득하는 기법이다.
92	다크 데이터,Dark Data	빅데이터(Big Data)와 비슷하면서도 구조화돼 있지 않고, 더는 사용하지 않는 ‘죽은’ 데이터를 의미한다. 일반적으로 정보를 수집해 저장한 이후 분석이나 특별한 목적을 위해 활용하는 데이터가 아니며,  저장공간만 차지하고 이러한 이유로 심각한 보안 위험을 초래할 수 있다.
93	FCFS,First Come First Served	스케줄링 기법 중 먼저 들어온 프로세스를 먼저 처리하는 기법은?
94	SJF,Shortest Job First	스케줄링 기법 중 처리시간이 짧은 프로세스부터 처리하는 기법은?
95	HRN,Highest Response Ratio Next	스케줄링 기법 중 짧은 작업시간이면서 대기시간이 긴 프로세스부터 처리하는 기법은?
96	RR,Round Robin,라운드 로빈	스케줄링 기법 중 먼저 들어온 순서대로 일정 시간만큼만 처리하는 기법은?
97	SRT,Shortest Remaining Time	스케줄링 기법 중 남은 시간이 짧은 프로세스부터 처리하는 기법은?
98	MLQ,Multi-Level Queue	우선순위별로 큐를 분리하여 다양한 스케줄링 적용
99	관계해석	수학의 predicate calculus에 기반을 두고 있으며, 관계 데이터 모델의 제안자인 E. F. Codd가 특별히 관계 데이터베이스를 위해 제안하여 탄생하였다. 원하는 정보가 무엇이라는 것만 정의하는 비절차적 특성을 지닌다.
100	관계대수	릴레이션 조작을 위한 연산의 집합이다.
101	IDEA,International Data Encryption Algorithm	Xuejia Lai와 James Messey 가 만든 알고리즘으로 PES(Proposed Encryption Standard)에서 IPES(Improved PES)로 변경되었다가, 1991년에 제작된 블록 암호 알고리즘으로 현재 국제 데이터 암호화 알고리즘으로 사용되고 있다. 64비트 블록을 128비트의 key를 이용하여 8개의 라운드로 구성되어 있다.
102	SKIPJACK	미국의 NSA에서 개발한 Clipper 칩에 내장되는 블록 알고리즘이다. 전화기와 같은 음성을 암호화 하는데 주로 사용되며 64비트 입출력에 80비트의 키 총 32라운드를 가진다.
103	가상사설망,VPN,Virtual Private Network	인터넷을 통해 디바이스 간에 사설 네트워크 연결을 생성하며, 퍼블릭 네트워크를 통해 데이터를 안전하게 익명으로 전송하는 데 사용된다. 또한 사용자 IP 주소를 마스킹하고 데이터를 암호화하여 수신 권한이 없는 사람이 읽을 수 없도록 한다.
104	SRP,단일 책임 원칙,Single responsibility principle	다음이 설명하는 원칙은? "한 클래스는 하나의 책임만 가져야 한다."
105	OCP,개방-폐쇄 원칙,Open-Closed principle	다음이 설명하는 원칙은? "소프트웨어 요소는 확장에는 열려 있으나 변경에는 닫혀 있어야 한다."
106	LSP,코프 치환 원칙,Liskov substitution principle	다음이 설명하는 원칙은? "프로그램의 객체는 프로그램의 정확성을 깨뜨리지 않으면서 하위 타입의 인스턴스로 바꿀 수 있어야 한다.” 계약에 의한 설계를 참고하라"
107	ISP,인터페이스 분리 원칙,Interface segregation principle	다음이 설명하는 원칙은? "특정 클라이언트를 위한 인터페이스 여러 개가 범용 인터페이스 하나보다 낫다."
108	DIP,의존관계 역전 원칙,Dependency inversion principle	다음이 설명하는 원칙은? "프로그래머는 “추상화에 의존해야지, 구체화에 의존하면 안된다.”[4] 의존성 주입은 이 원칙을 따르는 방법 중 하나다."
109	SOLID	로버트 마틴이 2000년대 초반에 명명한 객체 지향 프로그래밍 및 설계의 다섯 가지 기본 원칙을 마이클 페더스가 두문자어 기억술로 소개한 것이다. 프로그래머가 시간이 지나도 유지 보수와 확장이 쉬운 시스템을 만들고자 할 때 이 원칙들을 함께 적용할 수 있다.
110	Regression Test,회귀 테스트, Regression	오류를 제거하거나 수정한 시스템이나 시스템 컴포넌트 또는 프로그램이 오류 제거와 수정에 의해 새로이 유입된 오류가 없는지를 확인하는 일종의 반복 시험이다.
111	IGP,Interior Gateway Protocol	라우터로 상호 접속이 되어있는 여러 개의 네트워크 집합으로 도메인 혹은 자율시스템(Autonomous System, AS)이라고 한다. 같은 도메인 내에 존재하는 라우터는 도메인 내부 라우터가 되고 도메인 외부에 존재하는 라우터는 도메인 외부 라우터가 되는데, 여기서 도메인 내부 경로 설정을 가르킨다.
112	EGP,Exterior Gateway Protocol	시스템 사이에 경로 설정 정보 등을 교환하기 위해 사용하는 프로토콜로써, 다른 도메인 사이에 라우팅 시 정리된 관리가 거의 없고 많은 경우에 신용도가 매우 낮아 빠른 수행보다는 보안과 제어가 본래의 목적이다.
113	OSPF,Open Shortest Path First	IP 라우팅 프로토콜의 한 종류로써 RIP(routing information protocol)보다 규모가 큰 네트워크에서도 사용할 수 있다. 규모가 크고 복잡한 TCP/IP 네트워크에서 RIP의 단점을 개선한 라우팅 프로토콜로써 RIP에 비해 자세한 제어가 가능하고, 관리 정보의 트래픽도 줄일 수 있다.
114	BGP,Border Gateway Protocol	서로 다른 자율 시스템(AS)의 라우터 간에 라우팅 정보를 교환하는 데 사용되는 외부 게이트웨이 프로토콜(EGP)이다. 각 목적지에 대한 전체 경로가 포함되며, 다른 시스템과 교환하는 네트워크 도달 가능성 정보의 데이터베이스를 유지한다. 네트워크 도달 가능성 정보를 사용하여 AS 연결 그래프를 구성하며, 이를 통해 라우팅 루프를 제거하고 AS 수준에서 정책 결정을 실행할 수 있다.
115	HTTP,Hypertext Transfer Protocol	인터넷에서, 웹 서버와 사용자의 인터넷 브라우저 사이에 문서를 전송하기 위해 사용되는 통신 규약을 말한다. 인터넷에서 하이퍼텍스트(hypertext) 문서를 교환하기 위하여 사용되는 통신규약이다. 이 규약에 맞춰 개발해서 서로 정보를 교환할 수 있게 되었다.
116	Hypertext	문자, 그래픽, 음성 및 영상을 하나의 연상 거미집(Web of Association)과 같이 서로 연결시켜, 제시된 순서에 관계없이 이용자가 관련된 정보를 검색할 수 있도록 하는 정보 제공 방법이다. 즉, 한 페이지에서 링크된 순서에 상관없이 사용자들이 원하는 정보를 클릭함으로써 원하는 정보에 쉽게 접근하는 방식을 말한다.
117	HTML,HyperText Markup Language	웹 페이지 표시를 위해 개발된 지배적인 마크업 언어다. 또한, 제목, 단락, 목록 등과 같은 본문을 위한 구조적 의미를 나타내는 것뿐만 아니라 링크, 인용과 그 밖의 항목으로 구조적 문서를 만들 수 있는 방법을 제공한다.
118	소프트웨어 생명주기,SDLC,Software Development Life Cycle	시스템의 요구분석부터 유지보수까지 전 공정을 체계화한 절차
119	폭포수 모델	소프트웨어 개발의 전 과정을 나누어 체계적이고 순차적으로 접근하는 소프트웨어 개발 생명주기 모델
120	프로토타이핑 모델,Prototyping Model	사용자 요구사항을 충분히 분석할 목적으로 시스템의 중요 일부분을 우선 구현 후, 다시 요구사항을 반영하는 과정을 반복하는 개발 모델
121	나선형 모델,Spiral Model	시스템 개발시 위험을 최소화 하기 위해 점진적으로 완벽한 시스템으로 개발해 나가는 모델
122	구조적 방법론	정형화된 분석 절차에 따라 사용자 요구사항을 파악하여 문서화하는 체계적인 방법으로 비즈니스 프로세스 자동화를 목표로 하고 있으며, 프로세스 중심의 개발 방법
123	객체지향 방법론	‘객체’라는 기본 단위로 시스템을 분석 및 설계하는 방법론
124	CBD 방법론,Component Based Development	컴포넌트 단위의 개발/조립/유지보수를 통해 현대경영이 필요로 하는 정보시스템의 신속한 구축, 변경 확장의 용이성, 타 시스템과의 호환성을 달성하고자 하는 SW 공학 프로세스, 방법론 및 기술의 총체적 개념
125	애자일,애자일 방법론,Agile	고객의 요구사항 변화에 유연하게 대응하기 위해 일정한 주기를 반복하면서 개발하며 고객에게 시제품을 지속적으로 제공하며 고객의 요구사항이 정확하게 반영되고 있는지 점검한다. 폭포수 모형에 대비되는 유연한 방법론으로 비교적 소규모 개발 프로젝트에서 각광받고 있는 개발 방법론이다.
126	XP,eXtreme Programming	의사소통 개선과 즉각적 피드백으로 스프트웨어 품질을 높이기 위한 방법론용기, 단순성, 의사소통, 피드백, 존중을 5가지 가치로 지님.
127	스크럼,Scrum	매일 정해진 시간, 장소에서 짤은 시간의 개발을 하는 팀을 위한 프로젝트 관리 중심 방법론
128	럼바우 분석 기법,객체 모델링 기법,OMT,Object Modeling Technology	객체 지향 분석 방법 기법 중 하나로, 소프트웨어 구성 요소를 그래픽 표기법을 이용하여 모델링.
129	객체 모델링,Object Modeling	시스템에서 요구되는 객체를 찾아내어 속성과 연산 식별 및 객체들 간의 관계를 규정함. 럼바우 분석 기법에서 가장 중요하며 가장 선행되는 단계
130	동적 모델링,Dynamic Modeling	시간의 흐름에 따른 객체들 사이의 제어 흐름, 상호 작용, 동작 순서 등의 동적인 행위를 표현
131	기능 모델링,Functional Modeling	자료 흐름도(DFD)를 이용, 다수의 프로세스들 간의 자료 흐름을 중심으로 처리 과정을 표현. 어떤 데이터를 입력하면 어떤 결과를 구할 것인지 표현.
132	델파이 기법,델파이,Delphi method	전문가들의 의견수립, 중재, 타협의 방식으로 반복적인 피드백을 통한 하향식 의견 도출 방법으로 문제를 해결하는 기법으로 1964년 미국의 RAND연구소에서 개발되어 IT분야, 연구개발분야, 교육분야, 군사분야 등에서 활용되고 있다.
133	LOC,Line Of Code	원시 코드 라인수의 낙관치, 중간치, 비관치를 측정하여 예측치를 구해 비용산정
134	COCOMO,COnstructive COst MOdel	시스템의 비용을 산정하기 위해 시스템을 구성하고 있는 모듈과 서브 시스템의 비용 합계를 계산하는 방식. B.Boehm이 1981년에 초기 모델을 제안했으며, 먼저 완성될 시스템의 규모(lines of code)를 추정하고 이를 준비된 식에 대입하여 소요 인원/월을 예측함.
135	기능 점수,FP,Function Point	최종 사용자 입장에서의 기능적 복잡도를 고려하는 국제 표준(ISO/IEC 14143) 소프트웨어 규모 및 비용산정 방식
136	푸트남 모형,Putnam	개발주기의 단계별로 요구할 인력의 분포를 가정하는 방식
137	SLIM	Rayleigh-Norden곡선과 Putnam예측 모델을 기초로 하여 개발된 자동화 추정 도구
138	ESTIMACS	다양한 프로젝트와 개인별 요소를 수용하도록 FP모형을 기초로 하여 개발된 자동화 추정 도구
139	PERT,Project Evaluation and Review Technique	확률적인 추정치를 이용하여 단계중심의 확률적 모델을 전개하는 기법. 비관치, 중간치, 낙관치 이용.
140	주공정법,CPM,Critical Path Method	임계 경로를 기반으로 프로젝트의 최소 기간을 결정하는데 사용되는 일정 네트워크 분석 기법
141	중요 연쇄 프로젝트 관리,주 공정 연쇄법,CCPM,Critical Chain Project Management	작업의 선후관계 및 필요 자원의 가용성까지 고려하여 프로젝트를 계획하고 관리하는 기법
142	동료 검토,Peer Review	요구사항 명세서 작성자가 명세서 내용을 직접 설명하고 동료들이 이를 들으면서 결함을 발견
143	워크 스루,Walk Through	검토 자료를 회의 전에 배포하여 짧은 시간동안 회의를 진행하는 형태로 리뷰를 통해 오류를 검출하고 문서화
144	인스펙션,Inspection	소프트웨어 요구, 설계 원시 코드 등의 저작자 외의 다른 전무가 또는 팀이 검사하여 오류를 찾아내는 공식적 검토방법